concept_person_newman concept_actor_joanne_woodward concept:hasspouse concept_televisionstation_wpde concept_drug_progesterone concept_city_alamosa concept_musician_john_doyle concept_clothing_pajama_bottoms concept_lake_lake_union concept_room_closet concept_geometricshape_lengths concept_musician_gatemouth_brown concept_movie_notorious concept_sportsteam_houston_cougars concept_chemical_sulfur_trioxide concept_athlete_brandon_bass concept_musician_jimmy_bryant concept_musicalbum_rites_of_passage concept_river_bayou_lafourche concept_book_the_last_juror concept_bathroomitem_element concept_scientist_james_gould_cozzens concept_hallwayitem_pedestal_sink 38.9577900000000,-76.9991600000000 concept_publication_wpbf_tv concept_emotion_pain concept_musicartist_fan concept_personmexico_mark_loretta concept_food_baked_potato concept_writer_evelyn_waugh concept_bank_direct_line 10.1833300000000,-84.2166700000000 concept_person_julia concept_geopoliticalorganization_guantanamo concept_writer_emine__zdamar concept_city_randolph concept_sportsteam_troy_state concept_ceo_use_for concept_athlete_jorge_campillo concept_reptile_tortoises concept_plant_buttonwood concept_drug_ketoconazole concept_musician_terry_kath concept_televisionstation_ktnl concept_skiarea_southeastern concept_newspaper_vida_newspaper concept_currency_forint concept_writer_janet_evanovich concept_mammal_rates concept_website_light concept_mammal_whitetail_deer concept_book_beowulf concept_airport_glacier_park_international concept_profession_victims concept_bacteria_mycobacterium_avium concept_nut_salad concept_writer_jack_kerouac concept_politician_president_roosevelt concept_personaustralia_sir_walter_scott concept_stateorprovince_new_mexico concept_stadiumoreventvenue_bank_united_center concept_country_uganda concept_person_piquet concept_director_james_carmichael concept_politicsblog_paris_match concept_academicfield_science concept_bridge_sydney_harbour_bridge concept_company_pixar concept_agriculturalproduct_mussels concept_book_danse_macabre concept_country_hungary concept_actor_john_tierney concept_fish_blue_catfish concept_bathroomitem_glass_shower concept_televisionstation_kob concept_personeurope_arthur_conan_doyle concept_university_mit_ concept_product_xps concept_drug_floxin 40.2334000000000,-81.3756700000000 concept_politicianus_david_mcintosh concept_eventoutcome_memorable_one concept_politicianus_mccain 33.9901200000000,71.5516700000000 33.0333300000000,36.0138916666667 concept_governmentorganization_us_cert concept_city_palm_beach concept_city_klawock 7.6333300000000,-7.7333300000000 53.3371000000000,-6.3237900000000 concept_visualizablescene_agoura_hills concept_publication_people_ concept_musicartist_cannibal_corpse concept_writer_alex_beam concept_geopoliticallocation_wright_state concept_book_neverwhere concept_stadiumoreventvenue_quicken_loans_arena concept_musician_damon_albarn concept_person_mel_gibson concept_drug_actos concept_company_bmw__mercedes_benz concept_male_zeus concept_physicalaction_livings
concept_athlete_woodward concept_county_westport concept:personhasresidenceingeopoliticallocation concept_city_south_beach concept_director_danny_boyle concept_language_turkish concept_city_vientiane concept_book_v_for_vendetta concept_book_dom_casmurro concept_mammal_mandrill concept_vegetable_chop concept_book_the_chamber concept_sportsteam_kings_college concept_insect_subject concept_crimeorcharge_trying_to_fraudulently_obtain_new_zealand_passports concept_sportsteamposition_running_backs concept_personeurope_thomas_keneally concept_sportsteam_southland_conference concept_color_form concept_journalist_jill_abramson concept_book_goodnight_mister_tom concept_university_amc concept_animal_hammerheads concept_stadiumoreventvenue_warsaw concept_writer_john_steakley concept_governmentorganization_national_oceanic_and_atmospheric_administration concept_athlete_jeff_bailey concept_agriculturalproduct_crushed_red_pepper concept_city_st___goar concept_personus_d__h__lawrence 53.3371000000000,-6.3237900000000 37.5330500000000,-108.1728600000000 concept_person_henry_viii concept_celltype_diseases concept_city_las_vegas concept_newspaper_vida_newspaper concept_athlete_damon_stoudamire concept_person_mailer concept_river_deschutes concept_musicartist_fourplay concept_city_fairlawn concept_book_the_brethren concept_drug_caspofungin 2 concept_city_arden_arcade concept_televisionstation_kame_tv concept_company_missouri concept_agriculturalproduct_season concept_televisionstation_khiz concept_biotechcompany_pfizer_pharm concept_person_christina concept_plant_plants concept_ceo_updates concept_book_a_long_long_way concept_biotechcompany_boehringer_ingelheim concept_visualizablescene_chicken_farm concept_musicalbum_rites_of_passage concept_mammal_chinchilla concept_currency_kwacha concept_sportsgame_conference_finals concept_city_san_diego concept_chef_jerome_legel concept_stadiumoreventvenue_horseshoe_casino concept_winery_red_rock concept_sportsteam_sacramento_state concept_arachnid_kids concept_sportsteam_eastern_kentucky_colonels concept_person_martin001 concept_beach_caesars_head concept_politicianus_jane_harman concept_beverage_wines concept_vertebrate_herds concept_politicianus_david_mcintosh concept_vegetable_corn concept_coach_marty_mornhinweg concept_biotechcompany_home_depot_inc concept_city_cliffside_park concept_skiarea_hotel_jerome 28.6017766666667,-81.1987533333333 concept_personmexico_mike_cameron concept_hotel_delta_bow_valley concept_sportsteam_louisiana_state_tigers concept_food_hot_peppers concept_park_sites concept_bridge_world concept_river_coosa_river concept_male_pharez concept_governmentorganization_rockefeller_foundation concept_city_birmingham concept_actor_sean_connery concept_politicsissue_processes concept_food_sautd_mushrooms concept_bathroomitem_powerful_shower concept_musician_mike_doughty concept_scientist_james_gould_cozzens concept_biotechcompany_searle concept_vegetable_greens concept_chef_james_owen_smith concept_journalist_john_berman concept_visualizableobject_key concept_person_enrique_iglesias concept_ceo_mike_s__zafirovski concept_person_joey002
concept_athlete_woodward concept_visualizablescene_hollywood concept:personhasresidenceingeopoliticallocation concept_journalist_charles_osgood concept_professor_rounds concept_ceo_vijay_mallya concept_software_apple_final_cut_pro concept_awardtrophytournament_n2004_world_series concept_biotechcompany_siebel_systems_inc concept_weapon_large_telescope concept_musician_glenn_frey concept_company_buy concept_person_michael_salyer concept_book_city_primeval concept_personeurope_roald_dahl 30.9690600000000,-98.4536400000000 concept_personeurope_robert_harris concept_sportsleague_western_hockey_league concept_person_sister_emmanuelle concept_beach_buttzville concept_televisionstation_wtmd concept_writer_emine__zdamar concept_furniture_sofa_sleepers concept_ceo_sheldon_adelson concept_biotechcompany_novo_nordisk 5.9930533333333,125.4031500000000 concept_comedian_eddie_murphy concept_city_jamnagar concept_website_krex_tv concept_personcanada_robby_krieger -43.2083000000000,170.7201100000000 concept_jobposition_finance_and_foreign_minister concept_drug_fentanyl concept_clothing_pajama_bottoms 42.3469000000000,-71.0872750000000 concept_televisionstation_wach concept_automobilemodel_e100 concept_country_netherlands concept_personafrica_martin_scorsese concept_tableitem_dinner concept_bodypart_one_arm concept_professor_jay concept_bodypart_system001 concept_drug_revlimid concept_journalist_tamar_lewin concept_company_espn_com concept_movie_contact concept_televisionstation_whnt concept_agriculturalproduct_season concept_person_ebay concept_journalist_bob_smizik concept_city_binghamton concept_transportation_bristol_international concept_furniture_pillow_top_mattress concept_coach_buccaneers concept_scientificterm_bayesian_model_comparison concept_athlete_cj_miles concept_blog_sandusky concept_writer_michelle_singletary concept_geopoliticallocation_md_ concept_beverage_expensive_water concept_city_locarno concept_televisionstation_kgwr_tv concept_stadiumoreventvenue_joe_louis_arena concept_emotion_pain concept_organization_international_hydropower_association concept_university_illinois_institute_of_technology concept_musicinstrument_vocals concept_jobposition_business_administration concept_male_pharez concept_stateorprovince_alaska concept_stadiumoreventvenue_september_2001 concept_governmentorganization_canadian_wildlife_service concept_person_michael_krogman concept_programminglanguage_contact concept_trainstation_rosslyn_metro_station concept_scientificterm_divergence_theorem concept_radiostation_wish_tv concept_disease_downs_syndrome concept_meat_silicone_breast concept_academicfield_home_economics concept_bakedgood_apple_pies concept_plant_flower concept_bodypart_recruitment 2 concept_emotion_annoyance concept_bank_first_boston concept_company_missouri concept_stateorprovince_montana concept_hotel_comfort_inn_montgomery concept_person_erick_snyder 35.4833300000000,135.3833300000000 concept_room_n2_room_suite concept_athlete_tiger_woods concept_newspaper_newsweek_magazine concept_writer_marina_warner concept_athlete_michael_irvin concept_beverage_twist concept_wine_french_varieties concept_musicartist_anti_flag concept_vehicle_affordable concept_country_israel concept_weapon_gas_emits
concept_person_nate concept_university_state_university concept:persongraduatedschool concept_city_mount_sterling concept_stateorprovince_west_virginia concept_organization_iberostar_hotels_and_resorts concept_personus_barrak_obama concept_city_warm_springs concept_river_meghna concept_sportsteam_marshall_thundering_herd concept_room_n1_double_room concept_director_summers concept_automobilemaker_cadillac concept_journalist_don_heckman concept_company_clinton concept_chef_jerome_acard 51.5082500000000,-0.1317300000000 concept_personaustralia_henning_mankell concept_newspaper_guardian 30.1833300000000,35.3000000000000 concept_personaustralia_brian_mcbride concept_visualizablething_needles concept_writer_iain_m__banks concept_bank_morganstanley concept_person_neil001 concept_disease_diseases concept_terroristorganization_rival_fatah_movement concept_charactertrait_misconduct concept_politicalparty_senate concept_skiarea_woodbury concept_company_news_corp_ concept_profession_mental_health_workers concept_book_the_english_patient concept_city_sherman_oaks concept_journalist_william_glaberson concept_university_theft concept_city_appleton concept_sportsteam_deakin_university concept_agriculturalproduct_lemon_thyme concept_city_bothell concept_scientificterm_linear_approximation concept_jobposition_bass_baritone concept_musicalbum_trip concept_drug_indinavir concept_sportsteam_state_university concept_trainstation_cypress concept_river_monongahela concept_person_jay_b__stewart concept_sportsteam_year_the_cubs concept_televisionstation_kfdx concept_book_hallucinating_foucault concept_person_clark_gable concept_wine_blend concept_company_clearwire concept_weapon_arms concept_drug_morphine concept_mammal_dog_ concept_mammal_pets concept_river_saint_john_river concept_movie_blood_diamond concept_celebrity_service_code concept_company_aeromexico concept_city_amboise concept_vehicle_advice concept_programminglanguage_frontpage concept_person_john_henrik_clarke concept_mammal_sheep concept_chef_jerome_coyle concept_book_a_long_way_down concept_city_heathrow concept_book_second_amendment concept_sportsteam_france concept_musicartist_michael_jackson concept_plant_live_oak_trees concept_journalist_paul_richter concept_currency_myanmar concept_city_berlin_berlin concept_agriculturalproduct_goats concept_governmentorganization_federal_energy_regulatory_commission concept_athlete_kasey_kahne concept_athlete_larry_foote concept_politicsissue_processes concept_city_westland concept_book_beyond_exile concept_book_the_rime_of_the_ancient_mariner concept_celebrity_richard_greene concept_geometricshape_triangle concept_person_jesus concept_movie_thunderball concept_bodypart_visceral_organs concept_crustacean_small_shrimp 51.7331300000000,-121.5860100000000 36.1024600000000,-115.1724300000000 concept_tool_tools concept_biotechcompany_monsanto concept_ceo_service_family concept_company_du_pont concept_plant_dogwood concept_geopoliticallocation_md_ concept_personafrica_charlton_heston concept_city_bern concept_televisionstation_kcal_tv concept_county_humboldt_state_college
concept_person_stan concept_city_york concept:personborninlocation concept_musicinstrument_bass concept_person_sienna concept_governmentorganization_dod concept_park_virginia_highlands concept_stadiumoreventvenue_bank_united_center concept_city_mount_sterling concept_sportsequipment_wheel concept_sportsteam_linfield_college_wildcats concept_city_riviere_du_loup concept_room_master_loft concept_city_weed concept_book_the_lost_world concept_bathroomitem_complimentary_toiletries concept_politicianus_eric_sevareid concept_website_wlky_tv concept_eventoutcome_memorable_one 38.3460000000000,-122.9730000000000 concept_ceo_howard_schultz concept_company_aeromexico concept_politicaloffice_assistant concept_radiostation_kmxt concept_nut_sweet_chestnut concept_lake_cree_lake concept_recordlabel_interference concept_person_harvey_tauman concept_hotel_hampton_inn_manhattan_soho concept_country_mauritius concept_city_lakeport concept_agriculturalproduct_lime concept_scientist_james_gould_cozzens concept_furniture_daybed -64.2419400000000,-57.2722200000000 concept_stateorprovince_mazowieckie concept_biotechcompany_novo_nordisk concept_wine_bordeaux_grapes concept_drug_buprenorphine concept_color_yellow concept_book_the_caves_of_steel concept_airport_zia_international concept_bodypart_atrium concept_musicartist_bob_marley concept_mammal_muskrats concept_televisionstation_wpru_lp concept_personeurope_robert_harris concept_boardgame_base concept_politicianus_bob_casey concept_transportation_west_covina concept_weatherphenomenon_water concept_professor_john_chaney concept_sportsteam_deakin_university concept_university_arkansas_state_university 50 concept_sportsteam_eagles concept_country_united_states concept_musician_bucky_pizzarelli concept_county_roger concept_city_changchun concept_dayofweek_sunday concept_charactertrait_limitations concept_jobposition_economist concept_person_charles_o__finley concept_visualizablescene_vashon concept_animal_top_predators concept_book_the_seat_of_the_soul concept_city_dar_es_salaam concept_person_richard_cushing concept_person_fidel_castro 11 concept_beverage_pickles concept_televisionstation_wdhn concept_book_god_is_not_great_how_religion_poisons_e concept_company_scholastic concept_scientificterm_spectral_decomposition concept_book_a_spot_of_bother concept_visualizablescene_agra concept_city_show_low concept_musicalbum_system concept_book_casanova_s_chinese_restaurant concept_person_thomas_jefferson concept_university_agnes_scott concept_chef_jerome_andrieu concept_athlete_scott concept_city_guerneville concept_personus_william_golding concept_country_the_united_states concept_city_juneau concept_city_ketchikan concept_scientificterm_factor_graphs concept_coach_chicago_bulls concept_company_sprint001 84 concept_bodypart_blood 38.9522200000000,-77.1444400000000 concept_chemical_waste_management concept_university_bauhaus_university_weimar concept_movie_training_day 38.1156400000000,-83.4760200000000 concept_televisionstation_wneg_tv concept_attraction_royal_courts_of_justice concept_televisionnetwork_independent
concept_person_stan concept_university_state_university concept:persongraduatedschool concept_ceo_home_ concept_emotion_new concept_journalist_maeve_reston concept_country_vietnam concept_physiologicalcondition_infection concept_book_the_young_lions concept_visualizablething_ranch 36.1354000000000,-121.6468000000000 concept_hotel_sheraton_jumeirah_beach_resort___towers concept_crustacean_small_shrimp concept_book_london_fields concept_musician_glenn_hughes concept_drug_without_prescription concept_company_consolidated_edison concept_person_michael_william concept_transportation_bristol_international concept_bank_french_banks concept_tool_tools concept_stadiumoreventvenue_horseshoe_casino concept_sportsteam_kansas_royals concept_clothing_nice_shirt concept_personaustralia_labeo concept_city_pittsburgh concept_language_dharawal concept_city_kermanshah concept_jobposition_sgt_ concept_stateorprovince_alabama concept_book_under_fire concept_automobilemodel_acura_integra concept_book_print concept_company_telemundo concept_sportsteam_devils concept_county_missouri_state_university concept_person_david_christie_murray concept_mammal_walrus concept_sport_fitness concept_book_narnia concept_museum_frick concept_hobby_game_hunting concept_city_hawaii concept_academicfield_human_computer_interaction concept_animal_birds003 concept_country_republic_of_benin concept_vegetable_rice concept_visualizablething_download_page 33.7686350000000,-84.2946550000000 concept_politicianus_john_a__culberson concept_university_university_college_london concept_musician_t_bone_walker concept_female_harry_reid concept_country_colombia concept_vehicle_bmw__mercedes_benz concept_biotechcompany_monsanto concept_weapon_original_coal concept_musician_martin_simpson concept_mammal_pets concept_programminglanguage_system concept_company_imf001 concept_programminglanguage_unix concept_athlete_pat_rafter concept_dateliteral_n2008 concept_athlete_les_furber concept_transportation_aberdeen_airport concept_televisionstation_kltv concept_museum_tv concept_airport_zia_international concept_language_telugu concept_landscapefeatures_reservoirs concept_person_moshe_ben_zikri concept_city_brunswick concept_economicsector_financial_services concept_software_corel_photopaint concept_scientificterm_crp_clustering concept_tradeunion_congress concept_politicsblog_wall_street_journal concept_bank_postal_service concept_musician_damon_albarn concept_economicsector_semiconductors concept_chemical_greenhouse_emissions concept_company_comcast_cable concept_aquarium_buffalo_aquarium concept_sportsteam_nevada_wolfpack concept_city_pula concept_stateorprovince_hawaii concept_mammal_lion concept_coach_michael_nylander concept_programminglanguage_names concept_drug_dexrazoxane concept_televisionstation_wews_tv concept_vegetable_vinegar concept_visualizablething_curtains concept_drug_buprenorphine concept_food_junk_food 49.8549000000000,-100.9256700000000 concept_book_exile_and_the_kingdom concept_musician_wes_montgomery concept_actor_charlie_sheen 48.4599700000000,-122.2871000000000 concept_braintissue_mouth concept_ceo_alan_j__lacy
concept_person_paul_newman concept_county_westport concept:personhasresidenceingeopoliticallocation concept_wine_fine_wines concept_book_the_partner concept_musicartist_gary_moore concept_city_sandefjord concept_retailstore_boeing concept_journalist_nora_roberts concept_person_norman_treigle concept_city_beaverton concept_scientificterm_structured_mean_field concept_sportsequipment_shot concept_writer_sir_arthur_conan_doyle concept_hotel_gaylord_national concept_jobposition_chief_political_strategist concept_coach_florida_panthers concept_county_gmc concept_bank_priority_mail_service concept_mammal_whitetail_deer concept_island_amantani concept_weapon_material concept_sportsgame_gallery concept_politicianus_bush concept_profession_artisans concept_chemical_neurotransmitter 4.3833300000000,-57.9333300000000 concept_city_glenwood_springs concept_company_aspire concept_economicsector_car_insurance concept_musicartist_liszt concept_personeurope_anonymous concept_city_binghamton 5 concept_city_emeryville concept_park_millenium_park concept_hobby_weight_lifting concept_sociopolitical_easy_task concept_politicianus_james_leach concept_geopoliticallocation_national concept_agriculturalproduct_livestock concept_aquarium_buffalo_aquarium concept_blog_sun concept_country_us concept_weapon_dragon_weapons concept_politicsblog_c_a concept_personeurope_david_rosenfelt concept_journalist_david_cay_johnston concept_beverage_blends concept_beach_savannah_ga concept_geopoliticallocation_sf concept_drug_rezulin concept_person_moshe_ben_zikri concept_bank_jpm concept_sport_basketball concept_visualizablething_master_suite concept_hotel_casino_queen concept_city_oswego concept_male_alex_archer concept_county_arkansas_state_university concept_plant_plants concept_book_jack_and_jill concept_stadiumoreventvenue_the_valarium concept_plant_flower concept_company_post concept_sportsteam_hartford_whalers concept_governmentorganization_department_of_veterans_affairs concept_ceo_abigail_johnson concept_ceo_service_family concept_website_walb_tv 35.1009100000000,-85.2381500000000 concept_agriculturalproduct_tree concept_musician_material concept_writer_ashbery concept_person_n14_people concept_magazine_four_million_people concept_bank_french_banks concept_athlete_zydrunas_ilgauskas concept_plant_sassafras concept_river_li_river concept_city_tijuana concept_biotechcompany_boeing concept_room_media_room concept_beverage_pinot_noir_grapes concept_musicartist_accept concept_furniture_full_size_beds_complete concept_person_john_david_irwin concept_county_sealy concept_language_dzongkha concept_governmentorganization_computer_emergency_readiness_team concept_recordlabel_columbia_records concept_book_a_clash_of_kings concept_televisionstation_wrfg concept_transportation_central_air concept_hotel_hilton_albuquerque concept_academicfield_public_safety concept_person_faith 44.1058000000000,-96.3397600000000 concept_visualizablescene_chicken_farm concept_musician_gary_moore concept_jobposition_geologist concept_book_alice_through_the_looking_glass concept_journalist_dejan_kovacevic
concept_person_paul_newman concept_geopoliticallocation_conn concept:personhasresidenceingeopoliticallocation concept_male_sen__barack_obama concept_criminal_website_link concept_female_corday concept_city_morrison concept_person_stromile_swift concept_beverage_grenache concept_hotel_gritti_palace concept_drug_neoral concept_drug_coreg concept_sportsteam_caltech concept_musicartist_scissor_sisters concept_stateorprovince_newmexico concept_governmentorganization_defense_mapping_agency concept_company_canon concept_journalist_richard_anderson concept_website_wfmj concept_drug_atacand_hct concept_artery_cord concept_athlete_chelsea concept_coach_john_wooden concept_musicartist_deep_purple concept_musicfestival_caribana concept_bodypart_digestive_organs concept_musicgenre_hardcore concept_invertebrate_annelids concept_newspaper_daily 48.4599700000000,-122.2871000000000 concept_athlete_tiger_woods 47.4723625000000,14.1148600000000 concept_park_white_city concept_clothing_nice_shirt concept_city_whiskeytown concept_governmentorganization_united_states_district_court concept_condiment_marsala_wine concept_profession_classroom_teachers concept_scientificterm_bases concept_sportsteam_maple_leafs concept_beverage_arizona concept_drug_josir concept_politicianus_senator_patrick_leahy 39.0456800000000,-95.7203000000000 concept_city_whbq concept_person_joseph_wallingford concept_writer_maya_angelou concept_ceo_use_for concept_book_braveheart concept_city_kars concept_university_basel_university concept_company_usda concept_website_tacoda concept_weapon_movement concept_personmexico_form concept_disease_birth_defects concept_city_south_beach concept_televisionshow_mr__men concept_personcanada_omissions concept_sportsteam_louisiana_state_tigers concept_bakedgood_sauce concept_winery_kkr concept_nerve_solar_plexus concept_hotel_star_hotels concept_drug_fosamax concept_city_coupeville concept_book_spider_s_web concept_country_zambia concept_visualartist_jenny concept_city_coloma concept_biotechcompany_dell_computer concept_visualartist_tamayo concept_coach_john_calipari concept_animal_minks concept_physiologicalcondition_attention_deficit concept_vegetable_lettuce 42.6828700000000,-71.2404750000000 concept_hotel_boulder_station concept_ceo_honda_motor_co concept_comedian_american_war_of_independence concept_country_norway concept_country_switzerland concept_drug_valtrex 5.9930533333333,125.4031500000000 concept_food_juicy_berries concept_city_bellevue concept_city_christchurch concept_visualartist_burne_jones concept_city_charlotte concept_beverage_amazing_water concept_city_fort_lauderdale concept_city_newton concept_book_death_comes_as_the_end concept_food_pumpkin concept_lake_lake_leelanau concept_city_kusadasi concept_river_rance concept_city_nassau concept_musicalbum_the_aftermath concept_book_cross_stitch concept_mammal_mongooses concept_personasia_j_williams concept_magazine_pillsbury
concept_person_albert002 concept_city_york concept:personborninlocation concept_university_university_of_zurich 45.0401200000000,-122.1525800000000 concept_scientificterm_vector_spaces 28.5501500000000,-81.7565550000000 concept_writer_moore concept_city_south_burlington 33.9572900000000,-118.4172900000000 concept_writer_e__b__white concept_skiarea_hood_river concept_drug_actos concept_personcanada_steve_miller concept_musicalbum_today concept_city_brunswick concept_biotechcompany_kos concept_person_jesus concept_hotel_sheraton_imperial concept_plant_pomegranates concept_journalist_maria_elena_fernandez concept_sportsteam_brewers concept_plant_shrubs concept_everypromotedthing_code_tag concept_drug_nexium concept_female_selma_blair concept_geometricshape_edges concept_drug_ortho_evra_patch concept_hotel_metropark concept_book_the_jungle_book concept_language_kazakh concept_awardtrophytournament_grand_slam concept_chemical_catecholamines concept_geopoliticallocation_grand_rapids_kalamazoo_battle_creek concept_winery_kkr concept_city_las_vegas concept_stadiumoreventvenue_fox_cities_performing_arts_center 43.7905400000000,-88.9556700000000 concept_bathroomitem_hydromassage_shower concept_musicartist_mike_doughty concept_criminal_louis_b__mayer concept_visualartist_detail concept_county_towson concept_stadiumoreventvenue_xcel_energy_center concept_personeurope_anonymous concept_protein_cyt concept_chemical_sulfur_trioxide concept_city_beavercreek concept_hotel_monte_carlo_hotel concept_radiostation_san_antonio concept_attraction_chinatown concept_chef_jerome_shell concept_televisionstation_wqad_tv concept_country_countries concept_jobposition_staff_writer concept_televisionstation_whdf_tv concept_airport_juanda concept_scientificterm_bayesian_parameter_estimation concept_geopoliticallocation_carnegie_mellon concept_coach_good_thing concept_bank_postal_service concept_plant_pine_forest concept_televisionstation_krex_tv concept_city_newark concept_city_flagstaff concept_drug_paracetamol concept_furniture_full_size_beds_complete concept_year_n1920 concept_athlete_danny_fortson concept_university_mit_ concept_hotel_oberoi_rajvilas concept_personasia_ravi_shankar concept_sportsteam_utah_state_university 4.3833300000000,-57.9333300000000 concept_river_yarmouk concept_city_charlotte concept_athlete_malcolm_smith concept_musicartist_times concept_city_new_york concept_visualartform_photography concept_person_gleason concept_sportsleague_cfl concept_stateorprovince_general_motors concept_landscapefeatures_end concept_clothing_hot_pants concept_mammal_jackals concept_televisionstation_wtkr concept_academicfield_international_management concept_female_saint_paul concept_tradeunion_search concept_room_masters_bedroom concept_mlauthor_hr concept_book_dead_center concept_governmentorganization_defense_contract_and_audit_agency concept_agriculturalproduct_mussels concept_biotechcompany_organon_inc 44.5188866666667,18.4055566666667 concept_publication_news_corp concept_ceo_peter_altabef concept_buildingfeature_double_doors concept_sportsteam_nuggets concept_building_years concept_museum_university_of_texas
concept_person_bobby001 concept_city_york concept:personborninlocation concept_actor_sean_connery 7.6333300000000,-7.7333300000000 concept_mammal_buffalo concept_book_isle_of_view concept_journalist_thomas_stevenson concept_personcanada_steve_miller concept_journalist_mash concept_televisionstation_kgwr_tv concept_everypromotedthing_tribune_col concept_skiarea_kentucky concept_bacteria_bartonella_quintana concept_winery_york_new_york concept_room_large_main_room concept_criminal_louis_b__mayer concept_city_hercules concept_vertebrate_page concept_mammal_cats 30.2890000000000,-97.7364000000000 concept_skiarea_galena concept_academicfield_production concept_writer_gary_zukav concept_plant_douglas_fir concept_newspaper_nettavisen concept_perceptionaction_planning_meeting concept_port_port_republic concept_city_fairlawn concept_academicfield_physical_therapy_assistant concept_language_semitic 20.9988900000000,-156.6708300000000 concept_musicfestival_baisakhi concept_city_orono 37.6647000000000,-77.4605000000000 concept_disease_side_effects concept_visualizablescene_inchicore concept_writer_samuel_beckett concept_economicsector_investment concept_sportsteam_michigan_st__spartans concept_person_mohammed concept_politicaloffice_governor concept_agriculturalproduct_dough concept_city_artois concept_personmexico_daniel_fernandez001 concept_city_secret concept_agriculturalproduct_fresh_ginger concept_book_the_chamber concept_flooritem_shower_head concept_person_matthews concept_continent_africa concept_musicartist_type_o_negative concept_furniture_king_size_headboard_and_footboard concept_bank_china_construction concept_beach_dadeland concept_city_baabdat concept_website_walb_tv concept_sportsequipment_equipment concept_language_czech concept_chemical_diesel_oil concept_city_birmingham concept_person_michael_salyer concept_person_brad_pitt concept_athlete_treanor concept_biotechcompany_ascend concept_musicartist_modest_mouse concept_parlourgame_three_miles concept_writer_alex_beam 33.2086500000000,-116.6578000000000 concept_plant_mosses concept_politician_obama concept_city_spa 35.1051200000000,-82.4465100000000 concept_transportation_gatwick_express concept_politicianus_marcy_kaptur concept_city_warren concept_company_diamond_shamrock concept_room_n1_double_room concept_stateorprovince_nv concept_clothing_custom concept_person_andrew_prendeville concept_sport_sovereign_state concept_restaurant_woodlands_hotel___resort concept_port_grantley_adams_airport concept_politicianus_palin concept_politicianus_joseph_pitts concept_coach_hassan_adams concept_chemical_pyrite concept_televisionstation_khiz concept_writer_william_faulkner 48.4599700000000,-122.2871000000000 concept_personmexico_andrew_alberts concept_biotechcompany_takeda 30.9690600000000,-98.4536400000000 concept_chemical_bodies concept_book_quarantine concept_city_punakha concept_book_the_moor_s_last_sigh concept_personmexico_mark_loretta concept_currency_dirham concept_hotel_gaylord_palms concept_building_brandeis_university concept_stadiumoreventvenue_september_2001
concept_person_close concept_city_york concept:personborninlocation concept_disease_hepatitis concept_scientificterm_orthonormal_bases concept_musicartist_duran_duran concept_journalist_edmund_l__andrews concept_scientificterm_bayesian_model_comparison concept_stadiumoreventvenue_camp_nou concept_bank_bear_stearns concept_drug_nsaid 32.9681925000000,-92.7014725000000 concept_male_lou_brock concept_journalist_charles_osgood concept_jobposition_producer concept_book_the_fires_of_heaven concept_geometricshape_equal_sides concept_company_at_t 28.5501500000000,-81.7565550000000 concept_bacteria_mycobacterium_avium concept_transportation_virginia_railway_express concept_university_basel_university concept_drug_procardia concept_visualizablething_slice concept_judge_poughkeepsie concept_personeurope_robert_jordan concept_lake_new concept_mountain_preston concept_city_moradabad concept_buildingmaterial_glass concept_officebuildingroom_well_appointed_rooms concept_beverage_sugar concept_city_vientiane concept_musician_material concept_mammal_rates concept_nut_hazelnuts concept_sport_basketball concept_city_morrison concept_book_about_a_boy concept_coach_preki concept_director_kenneth_lay concept_actor_jon_snow concept_mldataset_rest concept_hallwayitem_condition concept_city_boppard concept_televisionshow_castle concept_placeofworship_lerins concept_mountainrange_juneau_icefield concept_televisionstation_waws_tv concept_city_pottstown concept_musicartist_nachtmystium concept_jobposition_business_administration concept_country_republic_of_india concept_stateorprovince_ohio concept_scientist_competition concept_musician_jerry_garcia concept_televisionstation_ktes_lp 36.8619000000000,-76.3036360000000 concept_company_fidelity_investments concept_movie_big_lebowski concept_writer_pat_barker concept_company_symantec001 concept_person_stromile_swift concept_cognitiveactions_scientists concept_person_john_david_irwin concept_city_newark concept_programminglanguage_system concept_personafrica_world_meteorological_organization concept_organization_jilin_province concept_river_yangtze concept_city_edmonton concept_mammal_domestic_rabbits concept_writer_rachel_gibson concept_writer_joaquim_maria_machado_de_assis concept_perceptionaction_world concept_person_robert001 concept_personsouthamerica_mississippi concept_stadiumoreventvenue_silver_spurs_arena concept_city_zurich concept_musicartist_third_world concept_personus_arthur_c__clarke concept_mlconference_workshop concept_person_princess concept_politicianus_john_d__dingell concept_country_us concept_room_lower_bedroom concept_profession_arts_specialists concept_disease_candida concept_person_mike_widomski concept_bank_honeywell concept_island_commander_islands concept_sportsteam_tampa_bay_devil_rays concept_televisionstation_wjet_tv concept_officeitem_lables concept_jobposition_king concept_person_michael_william 6.4986100000000,99.3083300000000 concept_drug_imuran concept_visualizablething_downtown_atlanta concept_city_dhaka concept_shoppingmall_asheville concept_book_borders_of_infinity concept_organization_almond_casuarina_beach_resort
